carrier1,carrier2,correlation
TZ,B6,0.25820
TZ,CO,0.13552
TZ,DH,0.11314
TZ,DL,0.11049
TZ,EV,0.26357
TZ,F9,0.27005
TZ,FL,0.09171
TZ,HA,0.11301
TZ,HP,0.15929
TZ,MQ,0.73309
TZ,NK,0.52912
TZ,NW,0.19699
TZ,OH,0.06992
TZ,OO,0.40002
TZ,TZ,1.00000
TZ,UA,0.77065
TZ,US,0.11916
TZ,VX,0.24811
TZ,WN,0.45962
TZ,XE,0.07379
UA,AA,0.42707
UA,AS,0.20165
UA,B6,0.21993
UA,CO,0.41064
UA,DH,0.24195
UA,DL,0.13929
UA,EV,0.27708
UA,F9,0.62070
UA,FL,0.11572
UA,HA,0.04922
UA,HP,0.19240
UA,MQ,0.50200
UA,NK,0.53260
UA,NW,0.13452
UA,OH,0.04602
UA,OO,0.65022
UA,TZ,0.77065
UA,UA,1.00000
UA,US,0.19099
UA,VX,0.52796
UA,WN,0.56037
UA,XE,0.30027
US,AA,0.37334
US,AS,0.01433
US,B6,0.26600
US,CO,0.08684
US,DH,0.36821
US,DL,0.10541
US,EV,0.06186
US,F9,0.10007
US,FL,0.15373
US,HA,-0.01652
US,HP,0.05944
US,MQ,0.11271
US,NK,0.16181
US,NW,0.06909
US,OH,0.08876
US,OO,0.01725
US,TZ,0.11916
US,UA,0.19099
US,US,1.00000
US,VX,0.11057
US,WN,0.14175
US,XE,0.08686
VX,AA,0.23735
VX,AS,0.22706
VX,B6,0.29728
VX,CO,0.14141
VX,DH,0.14462
VX,DL,0.12498
VX,EV,0.02499
VX,F9,0.10819
VX,FL,0.04575
VX,HA,0.03057
VX,HP,0.18464
VX,MQ,0.13752
VX,NK,0.22098
VX,NW,0.05861
VX,OH,0.05151
VX,OO,0.47004
VX,TZ,0.24811
VX,UA,0.52796
VX,US,0.11057
VX,VX,1.00000
VX,WN,0.31063
VX,XE,0.03842
WN,AA,0.34405
WN,AS,0.19208
WN,B6,0.16522
WN,CO,0.34557
WN,DH,0.05813
WN,DL,0.21212
WN,EV,0.26229
WN,F9,0.33666
WN,FL,0.24042
WN,HA,-0.00148
WN,HP,0.56173
WN,MQ,0.30400
WN,NK,0.59779
WN,NW,0.12253
WN,OH,0.01971
WN,OO,0.40210
WN,TZ,0.45962
WN,UA,0.56037
WN,US,0.14175
WN,VX,0.31063
WN,WN,1.00000
WN,XE,0.24800
XE,AA,0.08514
XE,AS,-0.01485
XE,B6,0.03390
XE,CO,0.94292
XE,DH,0.08203
XE,DL,0.04939
XE,EV,0.38586
XE,F9,0.05248
XE,FL,0.05116
XE,HA,-0.01987
XE,HP,0.03180
XE,MQ,0.07295
XE,NK,0.21739
XE,NW,0.06585
XE,OH,0.03549
XE,OO,0.05210
XE,TZ,0.07379
XE,UA,0.30027
XE,US,0.08686
XE,VX,0.03842
XE,WN,0.24800
XE,XE,1.00000
